"Arena Nationala",55634,"iarba naturala","Bulevardul Basarabia 37-39, Bucuresti 022103"
"Giulesti",19100,"iarba naturala","Calea Giulesti 18, Bucuresti"
"Nicolae Dobrin",7800,"iarba naturala","Strada Nicolae Dobrin 23, Pitesti"
"Santiago Bernabeu",87000,"iarba naturala","Av. de Concha Espina 1, Madrid"
"Ilie Oana",15500,"iarba sintetica","Strada Stadionului 26, Ploiești"
"Vasil Levski",43230,"iarba naturala","1164 Borisova Gradina, Sofia"
"Stadionul Republicii",5300,"iarba sintetica","Strada Izvor 86, Bucuresti 030167"
"Baza Sportivă Pro Rapid",150,"iarba sintetica","Bulevardul Laminorului, Bucuresti"
"Iftimie Ilisei",32700,"iarba naturala","Independentei, Medgidia 905600"
"Dan Paltiniseanu",32980,"iarba naturala","Strada Stadionului, Timisoara"
